frequency_hz,magnitude
345.703,0.12849
346.436,0.151011
347.168,0.145177
347.9,0.189605
348.633,0.0584579
349.365,0.0317111
350.098,0.207475
350.83,0.296059
351.562,0.245967
352.295,0.274031
353.027,0.191514
353.76,0.152931
354.492,0.170663
355.225,0.0250898
355.957,0.230237
356.689,0.236978
357.422,0.121723
358.154,0.137613
358.887,0.148421
359.619,0.324624
360.352,0.308639
361.084,0.102799
361.816,0.118369
362.549,0.0978321
363.281,0.071674
364.014,0.205362
364.746,0.367834
365.479,0.444868
366.211,0.302258
366.943,0.0797679
367.676,0.127958
368.408,0.0434604
369.141,0.0887901
369.873,0.239389
370.605,0.219716
371.338,0.116138
372.07,0.242535
372.803,0.172062
373.535,0.164658
374.268,0.199529
375,0.166168
375.732,0.120509
376.465,0.118858
377.197,0.0524966
377.93,0.199747
378.662,0.0854333
379.395,0.15923
380.127,0.0612831
380.859,0.128667
381.592,0.159681
382.324,0.233577
383.057,0.263544
383.789,0.274901
384.521,0.13536
385.254,0.0876903
385.986,0.230834
386.719,0.0362243
387.451,0.175399
388.184,0.110625
388.916,0.0490186
389.648,0.153442
390.381,0.205162
391.113,0.222369
391.846,0.161592
392.578,0.0151966
393.311,0.111979
394.043,0.189675
394.775,0.173841
395.508,0.178718
396.24,0.0534642
396.973,0.165238
397.705,0.0915212
398.438,0.0276334
399.17,0.214508
399.902,0.286862
400.635,0.218025
401.367,0.18267
402.1,0.190938
402.832,0.154258
403.564,0.240022
404.297,0.233105
405.029,0.249186
405.762,0.159352
406.494,0.0758261
407.227,0.119097
407.959,0.0917657
408.691,0.137801
409.424,0.145695
410.156,0.189316
410.889,0.21407
411.621,0.0478643
412.354,0.240472
413.086,0.235959
413.818,0.140642
414.551,0.164592
415.283,0.173975
416.016,0.0349797
416.748,0.193996
417.48,0.0745058
418.213,0.17571
418.945,0.200383
419.678,0.163978
420.41,0.138293
421.143,0.387031
421.875,0.292696
422.607,0.0831047
423.34,0.0526922
424.072,0.146765
424.805,0.312661
425.537,0.242567
426.27,0.230741
427.002,0.158449
427.734,0.241958
428.467,0.220429
429.199,0.0259593
429.932,0.0947829
430.664,0.0544905
431.396,0.204129
432.129,0.157105
432.861,0.178759
433.594,0.051446
434.326,0.278064
435.059,0.25503
435.791,0.105963
436.523,0.197089
437.256,0.268918
437.988,0.0841624
438.721,0.160771
439.453,0.185973
440.186,0.0798219
440.918,0.236426
441.65,0.0493926
442.383,0.178783
443.115,0.239616
443.848,0.028758
444.58,0.0838264
445.312,0.0386525
446.045,0.10677
446.777,0.17511
447.51,0.0544374
448.242,0.171657
448.975,0.223327
449.707,0.0841455
450.439,0.0829636
451.172,0.154461
451.904,0.048651
452.637,0.0511378
453.369,0.244014
454.102,0.230341
454.834,0.185931
455.566,0.240146
456.299,0.317058
457.031,0.150179
457.764,0.188413
458.496,0.119619
459.229,0.247964
459.961,0.24839
460.693,0.244304
461.426,0.324163
462.158,0.258653
462.891,0.149734
463.623,0.159213
464.355,0.0978898
465.088,0.169989
465.82,0.17369
466.553,0.0486154
467.285,0.208221
468.018,0.407089
468.75,0.0932596
469.482,0.264197
470.215,0.181356
470.947,0.128498
471.68,0.0433443
472.412,0.0485733
473.145,0.0833873
473.877,0.0149267
474.609,0.137632
475.342,0.335205
476.074,0.0203182
476.807,0.0905523
477.539,0.189332
478.271,0.0173496
479.004,0.232978
479.736,0.217797
480.469,0.209367
481.201,0.476487
481.934,0.262819
482.666,0.15299
483.398,0.116589
484.131,0.108544
484.863,0.318822
485.596,0.321504
486.328,0.226144
487.061,0.201459
487.793,0.151555
488.525,0.344924
489.258,0.24887
489.99,0.195888
490.723,0.268983
491.455,0.420706
492.188,0.26937
492.92,0.0667369
493.652,0.237817
494.385,0.154352
